Country,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Indonesia,,10.0,10.0,30.0,50.0,80.0,100.0,139.0,250.0,310.0,518.0,543.0,621.0,693.0,983.0,1171.0,1374.0,1729.0,2059.0,1850.0,1850.0,2892.0,3089.0,2949.0,3802.0,3220.0,4130.0,4109.0,3816.0,2699.0,2891.0,2848.0,2781.0,2462.0,2042.0,3682.0,3675.0,3759.0,4160.0,3915.0,3501.0,3664.0,3621.0,2254.0,2644.0,4351.0,4854.0,4746.0,5195.0,6183.0,7783.0
Japan,82166.0,93322.0,88557.0,96900.0,119322.0,117131.0,102313.0,107399.0,102405.0,102105.0,111148.0,111395.0,101676.0,99548.0,97179.0,105586.0,105279.0,98275.0,98513.0,105681.0,107909.0,110339.0,109649.0,98132.0,99623.0,98295.0,101640.0,98801.0,104545.0,93548.0,91192.0,106444.0,102866.0,107745.0,110511.0,112718.0,112471.0,116226.0,120203.0,118739.0,87534.0,109599.0,107601.0,107232.0,110595.0,110666.0,105134.0,104775.0,104661.0,104319.0,99284.0
Malaysia,74.0,122.0,160.0,187.0,180.0,182.0,183.0,190.0,194.0,203.0,233.0,210.0,210.0,210.0,350.0,350.0,400.0,400.0,550.0,550.0,550.0,1100.0,1130.0,1559.0,1807.0,2046.0,2450.0,3216.0,2962.0,1903.0,2260.0,3650.0,4100.0,4722.0,3960.0,5698.0,5296.0,5834.0,6895.0,6423.0,4004.0,5694.0,5941.0,5612.0,4693.0,4316.0,3784.0,2764.0,3215.0,4108.0,6820.0
North Korea,2000.0,2180.0,2360.0,2500.0,2900.0,3200.0,2900.0,3000.0,4000.0,5080.0,5300.0,5800.0,5500.0,5800.0,6100.0,6500.0,6500.0,6600.0,6730.0,6830.0,6930.0,7000.0,5000.0,4000.0,3500.0,1600.0,600.0,600.0,600.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,250.0,1300.0,1300.0,1280.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0
Philippines,101.0,112.0,136.0,173.0,216.0,237.0,316.0,357.0,364.0,276.0,397.0,330.0,350.0,350.0,200.0,250.0,250.0,250.0,300.0,300.0,400.0,600.0,605.0,497.0,623.0,473.0,923.0,920.0,980.0,880.0,530.0,426.0,500.0,550.0,500.0,400.0,470.0,558.0,718.0,711.0,824.0,1050.0,1200.0,1260.0,1308.0,1196.0,968.0,1075.0,1378.0,1475.0,1915.0
Singapore,114.0,114.0,130.0,198.0,211.0,194.0,188.0,194.0,206.0,280.0,297.0,340.0,263.0,359.0,305.0,362.0,365.0,390.0,441.0,432.0,495.0,489.0,510.0,482.0,520.0,530.0,521.0,531.0,383.0,499.0,590.0,603.0,456.0,460.0,561.0,610.0,572.0,607.0,640.0,764.0,664.0,728.0,752.0,688.0,434.0,540.0,501.0,520.0,596.0,618.0,766.0
South Korea,373.0,481.0,472.0,586.0,1157.0,1947.0,1994.0,3515.0,4347.0,4969.0,7610.0,8558.0,10753.0,11758.0,11915.0,13034.0,13539.0,14555.0,16782.0,19118.0,21873.0,23125.0,26001.0,28055.0,33026.0,33745.0,36772.0,38903.0,42554.0,39896.0,41042.0,43107.0,43852.0,45390.0,46310.0,47521.0,47820.0,48455.0,51517.0,53625.0,48572.0,58914.0,68519.0,69073.0,66061.0,71543.0,69670.0,68576.0,71030.0,72464.0,71412.0
Taiwan,480.0,350.0,470.0,540.0,535.0,901.0,1010.0,1628.0,1770.0,3432.0,4250.0,3417.0,3157.0,4152.0,5031.0,5241.0,5306.0,5545.0,5915.0,8288.0,9047.0,9748.0,10973.0,10705.0,11705.0,11594.0,11605.0,12305.0,15994.0,16914.0,15438.0,16896.0,17261.0,18230.0,18832.0,19599.0,18942.0,20000.0,20903.0,19882.0,15873.0,19755.0,20178.0,20664.0,22282.0,23221.0,21392.0,21751.0,22438.0,23240.0,21954.0
Thailand,33.0,153.0,170.0,283.0,324.0,326.0,251.0,281.0,309.0,385.0,400.0,450.0,300.0,312.0,244.0,381.0,447.0,460.0,534.0,535.0,550.0,685.0,711.0,929.0,954.0,1461.0,2134.0,2143.0,2101.0,1814.0,1532.0,2100.0,2127.0,2538.0,3551.0,4533.0,5161.0,4914.0,5565.0,5211.0,3646.0,4145.0,4256.0,3641.0,3613.0,5835.0,5069.0,5400.0,6762.0,6403.0,4246.0
Australia,7032.0,6839.0,6753.0,6751.0,7699.0,7813.0,7869.0,7794.0,7338.0,7596.0,8119.0,7589.0,7635.0,6371.0,5676.0,6302.0,6609.0,6674.0,6100.0,6387.0,6732.0,6676.0,6141.0,6803.0,7853.0,8424.0,8460.0,8415.0,8831.0,8941.0,8172.0,7129.0,7033.0,7527.0,7544.0,7414.0,7757.0,7881.0,7939.0,7625.0,5249.0,7296.0,6404.0,4893.0,4688.0,4607.0,4925.0,5259.0,5328.0,5689.0,5493.0
